priority_order,device_id,speed_percent,file_path,expected_label,predicted_label,status,confidence,second_label,probability_margin,window_count,window_consistency,warning_count,visualization_complete,word_export_ok
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承内圈故障2/振动_电机2_100_时域-轴承内圈故障2-通道4.csv,轴承故障,轴承故障,diagnosed,0.974047326669,正常,0.948,119,0.983,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.964528406189,正常,0.944,119,0.983,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/吸入口汽蚀1/振动_电机4_70_时域-吸入口汽蚀1-通道4.csv,汽蚀,汽蚀,diagnosed,0.962243559365,联轴器不对中,0.944,119,0.966,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中1/振动_电机4_70_时域-平行不对中1-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.94411225943,正常,0.904,119,0.958,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障3/振动_电机2_100_时域-泵轴承故障3-通道4.csv,轴承故障,轴承故障,diagnosed,0.938620040171,松动,0.907,119,0.9329999999999999,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀1/振动_电机4_70_时域-出口汽蚀1-通道4.csv,汽蚀,汽蚀,diagnosed,0.938350769708,联轴器不对中,0.881,119,0.9329999999999999,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承内圈故障3/振动_电机2_100_时域-轴承内圈故障3-通道4.csv,轴承故障,轴承故障,diagnosed,0.933234530631,松动,0.868,119,0.95,714,True,True
3,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/软脚1/振动_电机2_100_时域-软脚1-通道4.csv,松动,松动,diagnosed,0.923592272573,轴承故障,0.848,119,0.95,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中2/振动_电机4_70_时域-组合不对中2-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.91977867938,转子不平衡,0.871,119,0.9329999999999999,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/角向不对中1/振动_电机4_70_时域-角向不对中1-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.890315087482,汽蚀,0.786,119,0.9079999999999999,714,True,True
6,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,正常,正常,diagnosed,0.881318847408,轴承故障,0.804,119,0.899,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡2/振动_电机4_70_时域-电机不平衡2-通道4.csv,转子不平衡,联轴器不对中,diagnosed,0.866309553261,转子不平衡,0.733,119,0.857,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/角向不对中3/振动_电机4_70_时域-角向不对中3-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.864419592969,汽蚀,0.745,119,0.9079999999999999,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/吸入口汽蚀4/振动_电机4_70_时域-吸入口汽蚀4-通道4.csv,汽蚀,汽蚀,diagnosed,0.856442365232,正常,0.719,119,0.857,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/角向不对中5/振动_电机4_70_时域-角向不对中5-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.837829702266,正常,0.721,119,0.866,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/泵不平衡2/振动_电机4_70_时域-泵不平衡2-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.833965055987,松动,0.729,119,0.8320000000000001,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承外圈故障3/振动_电机2_100_时域-轴承外圈故障3-通道4.csv,轴承故障,轴承故障,diagnosed,0.820221479929,松动,0.646,119,0.8740000000000001,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡1/振动_电机4_70_时域-电机不平衡1-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.81749014264,联轴器不对中,0.668,119,0.8320000000000001,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承污染/振动_电机2_100_时域-轴承污染-通道4.csv,轴承故障,轴承故障,diagnosed,0.813407974942,松动,0.644,119,0.899,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承外圈故障1/振动_电机2_100_时域-轴承外圈故障1-通道4.csv,轴承故障,轴承故障,diagnosed,0.808520110717,松动,0.625,119,0.924,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/角向不对中4/振动_电机4_70_时域-角向不对中4-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.804696321282,正常,0.619,119,0.815,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承外圈故障2/振动_电机2_100_时域-轴承外圈故障2-通道4.csv,轴承故障,轴承故障,diagnosed,0.804081541956,松动,0.611,119,0.866,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.787819793819,联轴器不对中,0.612,119,0.7979999999999999,714,True,True
6,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,正常,正常,diagnosed,0.77909346695,轴承故障,0.604,119,0.8320000000000001,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡3/振动_电机4_70_时域-电机不平衡3-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.757750602994,联轴器不对中,0.616,119,0.773,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡6/振动_电机4_70_时域-电机不平衡6-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.749887966981,联轴器不对中,0.565,119,0.773,714,True,True
3,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/软脚2/振动_电机2_100_时域-软脚2-通道4.csv,松动,松动,diagnosed,0.744269654106,轴承故障,0.494,119,0.765,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/角向不对中2/振动_电机4_70_时域-角向不对中2-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.731680828691,正常,0.499,119,0.748,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/泵不平衡3/振动_电机4_70_时域-泵不平衡3-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.661459566741,松动,0.444,119,0.655,714,True,True
3,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,松动,松动,diagnosed,0.636543952752,轴承故障,0.345,119,0.6809999999999999,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡4/振动_电机4_70_时域-电机不平衡4-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.573824322837,联轴器不对中,0.169,119,0.613,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承滚动体故障/振动_电机2_100_时域-轴承滚动体故障-通道4.csv,轴承故障,轴承故障,diagnosed,0.526344608561,松动,0.063,119,0.529,714,True,True
4,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/泵不平衡1/振动_电机4_70_时域-泵不平衡1-通道4.csv,转子不平衡,转子不平衡,diagnosed,0.354662516358,联轴器不对中,0.06,119,0.336,714,True,True
