figure_id,device,fault_label,figure_type,source_file,record_index,time_segment,processing_params,png_path,pdf_path,csv_path
motor-2_bearing_fault_time_waveform,Motor-2,轴承故障,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,2,0.0-1.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_bearing_fault_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_bearing_fault_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_bearing_fault_time_waveform.csv
motor-2_bearing_fault_fft_low,Motor-2,轴承故障,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,2,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_bearing_fault_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_bearing_fault_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_bearing_fault_fft_low.csv
motor-2_bearing_fault_fft_full,Motor-2,轴承故障,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,2,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_bearing_fault_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_bearing_fault_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_bearing_fault_fft_full.csv
motor-2_bearing_fault_envelope_spectrum,Motor-2,轴承故障,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,2,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_bearing_fault_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_bearing_fault_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_bearing_fault_envelope_spectrum.csv
motor-2_bearing_fault_wavelet_bar,Motor-2,轴承故障,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,2,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_bearing_fault_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_bearing_fault_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_bearing_fault_wavelet_bar.csv
motor-2_wavelet_heatmap,Motor-2,ALL,wavelet_heatmap,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv; /Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv; /Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,1; 14; 2,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_heatmap/motor-2_wavelet_heatmap.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_heatmap/motor-2_wavelet_heatmap.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_wavelet_heatmap.csv
motor-4_normal_time_waveform,Motor-4,正常,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/正常状态3/振动_电机4_70_时域-正常状态3-通道4.csv,15,0.0-1.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_normal_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_normal_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_normal_time_waveform.csv
motor-4_normal_fft_low,Motor-4,正常,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/正常状态3/振动_电机4_70_时域-正常状态3-通道4.csv,15,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_normal_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_normal_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_normal_fft_low.csv
motor-4_normal_fft_full,Motor-4,正常,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/正常状态3/振动_电机4_70_时域-正常状态3-通道4.csv,15,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_normal_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_normal_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_normal_fft_full.csv
motor-4_normal_envelope_spectrum,Motor-4,正常,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/正常状态3/振动_电机4_70_时域-正常状态3-通道4.csv,15,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_normal_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_normal_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_normal_envelope_spectrum.csv
motor-4_normal_wavelet_bar,Motor-4,正常,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/正常状态3/振动_电机4_70_时域-正常状态3-通道4.csv,15,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_normal_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_normal_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_normal_wavelet_bar.csv
motor-4_rotor_unbalance_time_waveform,Motor-4,转子不平衡,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,2,0.0-1.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_rotor_unbalance_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_rotor_unbalance_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_rotor_unbalance_time_waveform.csv
motor-4_rotor_unbalance_fft_low,Motor-4,转子不平衡,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,2,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_rotor_unbalance_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_rotor_unbalance_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_rotor_unbalance_fft_low.csv
motor-4_rotor_unbalance_fft_full,Motor-4,转子不平衡,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,2,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_rotor_unbalance_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_rotor_unbalance_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_rotor_unbalance_fft_full.csv
motor-4_rotor_unbalance_envelope_spectrum,Motor-4,转子不平衡,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,2,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_rotor_unbalance_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_rotor_unbalance_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_rotor_unbalance_envelope_spectrum.csv
motor-4_rotor_unbalance_wavelet_bar,Motor-4,转子不平衡,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/电机不平衡5/振动_电机4_70_时域-电机不平衡5-通道4.csv,2,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_rotor_unbalance_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_rotor_unbalance_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_rotor_unbalance_wavelet_bar.csv
motor-4_coupling_misalignment_time_waveform,Motor-4,联轴器不对中,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,4,0.0-1.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_coupling_misalignment_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_coupling_misalignment_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_coupling_misalignment_time_waveform.csv
motor-4_coupling_misalignment_fft_low,Motor-4,联轴器不对中,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,4,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_coupling_misalignment_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_low/motor-4_coupling_misalignment_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_coupling_misalignment_fft_low.csv
motor-4_coupling_misalignment_fft_full,Motor-4,联轴器不对中,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,4,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_coupling_misalignment_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/fft_full/motor-4_coupling_misalignment_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_coupling_misalignment_fft_full.csv
motor-4_coupling_misalignment_envelope_spectrum,Motor-4,联轴器不对中,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,4,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_coupling_misalignment_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/envelope_spectrum/motor-4_coupling_misalignment_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_coupling_misalignment_envelope_spectrum.csv
motor-4_coupling_misalignment_wavelet_bar,Motor-4,联轴器不对中,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,4,0.0-12.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_coupling_misalignment_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/wavelet_bar/motor-4_coupling_misalignment_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_coupling_misalignment_wavelet_bar.csv
motor-4_cavitation_time_waveform,Motor-4,汽蚀,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,0,0.0-1.0 s,device=Motor-4; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=34.50 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_cavitation_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/time_waveform/motor-4_cavitation_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-4/csv/motor-4_cavitation_time_waveform.csv
